242,281,332,385,445,491,544,574,625,701,721,798,834,877,947,982,1004,1051,1127,1178,1249,1266,1309,1376,1397,1441,1498,1554,1646,1668,1707,1789,1810,1860,1935,1952,2025,2058,2104,2162,2226,2261,2316,2396,2417,2448,2490,2560,2643,2673,2726,2800,2837,2879,2913,2981,2998,3063,3131,3168,3209,3248,3332,3376,3404,3508,3478,3591,3683,3723,3739,3791,3861,3937,3967,4003,4027,4103,4139,4253,4308,4414,4379,4482,4479,4509,4570,4643,4698,4782,4798,4875,4885,4988,5043,5079
201,250,299,321,372,404,458,480,534,587,615,663,721,742,809,852,877,917,949,1021,1063,1064,1185,1171,1218,1251,1317,1364,1415,1478,1465,1482,1555,1591,1621,1653,1734,1787,1783,1835,1880,1930,1992,2003,2069,2095,2088,2186,2190,2266,2347,2343,2418,2385,2480,2499,2636,2590,2595,2641,2698,2731,2778,2844,2844,2911,2921,2961,3053,3060,3126,3197,3216,3301,3245,3275,3315,3415,3485,3521,3541,3580,3627,3679,3715,3732,3789,3855,3896,3911,3930,3985,4065,4091,4124,4148
199,250,286,318,370,409,452,486,548,577,612,655,690,722,781,812,857,912,934,964,1014,1059,1124,1189,1231,1254,1323,1321,1353,1400,1429,1464,1541,1564,1575,1668,1712,1672,1745,1784,1859,1932,1896,1966,2023,2048,2104,2153,2183,2217,2300,2375,2356,2384,2422,2421,2500,2551,2600,2626,2644,2723,2768,2794,2789,2834,2886,2975,2999,3093,3120,3105,3132,3188,3193,3247,3289,3356,3393,3460,3448,3549,3556,3619,3592,3710,3803,3744,3816,3933,3905,3912,4016,3929,4089,4099
80,94,108,119,136,165,192,201,232,237,266,266,281,290,302,365,394,421,424,434,458,472,503,527,520,541,586,566,596,605,641,651,669,683,718,806,875,848,874,909,932,934,964,986,979,1033,1024,1030,1058,1095,1096,1134,1188,1145,1155,1182,1204,1200,1232,1288,1289,1300,1343,1351,1332,1386,1441,1452,1423,1451,1467,1447,1514,1574,1623,1675,1763,1797,1777,1804,1818,1906,1873,1904,1912,1942,1961,1968,2006,1998,2035,2040,2083,2067,2127,2109
53,65,72,82,91,113,123,134,152,159,165,175,188,196,205,249,257,274,287,287,302,313,316,340,348,354,361,367,391,389,416,427,434,459,468,498,530,536,556,560,572,552,596,567,603,630,648,646,641,663,684,706,715,726,742,753,751,755,780,792,783,825,852,840,900,887,890,900,921,916,911,932,946,968,1029,1032,1072,1074,1103,1119,1126,1138,1157,1173,1186,1193,1190,1210,1220,1217,1237,1225,1239,1290,1304,1305
50,59,65,73,79,102,114,124,137,136,143,151,162,156,161,208,232,239,249,263,268,263,282,278,291,300,300,304,314,329,340,341,373,367,402,453,493,488,518,504,528,525,524,530,542,552,560,581,572,584,581,590,617,629,617,623,637,634,650,641,653,689,663,699,710,686,705,709,704,717,736,727,763,834,899,897,971,976,1012,1028,1059,1047,1077,1072,1080,1102,1106,1117,1112,1109,1134,1164,1155,1168,1133,1177
